Month,Series ID: NG.N9010US2.M Million Cubic Feet
Jan-02,2057728
Feb-02,1858737
Mar-02,2061811
Apr-02,1978245
May-02,2027979
Jun-02,1969276
Jul-02,2036905
Aug-02,2018574
Sep-02,1922715
Oct-02,1976488
Nov-02,1979436
Dec-02,2053385
Jan-03,2056766
Feb-03,1880691
Mar-03,2104114
Apr-03,2007565
May-03,2016922
Jun-03,1970130
Jul-03,1991705
Aug-03,2033633
Sep-03,1976511
Oct-03,2057161
Nov-03,1977961
Dec-03,2045819
Jan-04,2062805
Feb-04,1920843
Mar-04,2076537
Apr-04,1995315
May-04,2001333
Jun-04,1965797
Jul-04,2019157
Aug-04,2016570
Sep-04,1909243
Oct-04,2009174
Nov-04,1969226
Dec-04,2023680
Jan-05,2035036
Feb-05,1870546
Mar-05,2080504
Apr-05,1979474
May-05,2010625
Jun-05,1972975
Jul-05,1984143
Aug-05,1988105
Sep-05,1766603
Oct-05,1871190
Nov-05,1901758
Dec-05,1995862
Jan-06,1975168
Feb-06,1794241
Mar-06,1994464
Apr-06,1908987
May-06,1956520
Jun-06,1938796
Jul-06,1975235
Aug-06,1989430
Sep-06,1946109
Oct-06,2025782
Nov-06,1974331
Dec-06,2055955
Jan-07,2042882
Feb-07,1878003
Mar-07,2094555
Apr-07,1994942
May-07,2066642
Jun-07,2019862
Jul-07,2053286
Aug-07,2076235
Sep-07,2040241
Oct-07,2122193
Nov-07,2098602
Dec-07,2176213
Jan-08,2155041
Feb-08,2043801
Mar-08,2204088
Apr-08,2112605
May-08,2153316
Jun-08,2118791
Jul-08,2205260
Aug-08,2193566
Sep-08,1919520
Oct-08,2153389
Nov-08,2149851
Dec-08,2227028
Jan-09,2251938
Feb-09,2074167
Mar-09,2262488
Apr-09,2147856
May-09,2190437
Jun-09,2140519
Jul-09,2170032
Aug-09,2192597
Sep-09,2089220
Oct-09,2197157
Nov-09,2144157
Dec-09,2196325
Jan-10,2210163
Feb-10,2047815
Mar-10,2276546
Apr-10,2190270
May-10,2236507
Jun-10,2138770
Jul-10,2208753
Aug-10,2235038
Sep-10,2238147
Oct-10,2356947
Nov-10,2276710
Dec-10,2400418
Jan-11,2299298
Feb-11,2104330
Mar-11,2410884
Apr-11,2349720
May-11,2410866
Jun-11,2312943
Jul-11,2340293
